job_id,type
1001,health_insurance
1001,stock_options
1001,flexible_hours
1002,health_insurance
1002,remote_work
1002,learning_budget
1003,health_insurance
1003,stock_options
1003,gym_membership
1004,health_insurance
1004,performance_bonus
1004,remote_work
1005,health_insurance
1005,game_room
1005,flexible_hours
1006,health_insurance
1006,part_time_benefits
1006,remote_work
1007,contract_benefits
1007,flexible_hours
1007,remote_work
1008,health_insurance
1008,stock_options
1008,learning_budget
1009,health_insurance
1009,stock_options
1009,remote_work
1010,health_insurance
1010,part_time_benefits
1010,flexible_hours 